Aircraft type;WTC;Turboprop;ENGINE_TYPE;COMMENT
A124;H;FALSE;J;
A300;H;FALSE;J;
A30B;H;FALSE;J;
A306;H;FALSE;J;
A310;H;FALSE;J;
A318;M;FALSE;J;
A319;M;FALSE;J;
A320;M;FALSE;J;
A321;M;FALSE;J;
A322;M;FALSE;J;
A330;H;FALSE;J;
A332;H;FALSE;J;
A333;H;FALSE;J;
A334;H;FALSE;J;
A340;H;FALSE;J;
A342;H;FALSE;J;
A343;H;FALSE;J;
A344;H;FALSE;;
A345;H;FALSE;J;
A346;H;FALSE;J;
A350;H;FALSE;J;
A359;H;FALSE;J;
A380;H;FALSE;J;
A388;H;FALSE;J;
A4;M;FALSE;J;
A719;M;;;
AC50;L;TRUE;P;
AEST;L;TRUE;P;
AN24;M;TRUE;T;
AS32;M;FALSE;T;
AS35;L;FALSE;J;
AT42;M;TRUE;T;
AT43;M;TRUE;T;
AT45;M;TRUE;T;
AT46;M;TRUE;T;
AT72;M;TRUE;T;
AT75;M;TRUE;T;
ATR;M;TRUE;T;
B1;H;FALSE;J;
B190;M;TRUE;T;
B350;L;TRUE;T;
B379;M;;J;
B407;L;FALSE;T;
B429;L;FALSE;T;
B52;H;FALSE;J;
B707;M;FALSE;J;
B712;M;FALSE;J;
B717;M;FALSE;J;
B720;M;FALSE;J;
B721;M;FALSE;J;
B722;M;FALSE;J;
B727;M;FALSE;J;
B732;M;FALSE;J;
B733;M;FALSE;J;
B734;M;FALSE;J;
B735;M;FALSE;J;
B736;M;FALSE;J;
B737;M;FALSE;J;
B738;M;FALSE;J;
B739;M;FALSE;J;
B73B;M;FALSE;J;
B742;H;FALSE;J;
B744;H;FALSE;J;
B747;H;FALSE;J;
B748;H;FALSE;J;
B74A;H;FALSE;J;
B74B;H;FALSE;J;
B74F;H;FALSE;J;
B74S;M;FALSE;J;
B752;M;FALSE;J;
B753;M;FALSE;J;
B757;H;FALSE;J;
B762;H;FALSE;J;
B763;H;FALSE;J;
B764;H;FALSE;J;
B767;H;FALSE;J;
B772;H;FALSE;J;
B773;H;FALSE;J;
B777;H;FALSE;J;
B77L;H;FALSE;J;
B77W;H;FALSE;J;
B787;H;FALSE;J;
B788;H;FALSE;J;
B789;M;FALSE;J;
B7AT;H;FALSE;;
BA11;M;FALSE;J;
BBJ2;M;FALSE;;
BE10;L;TRUE;T;
BE18;L;TRUE;P;
BE20;L;TRUE;T;
BE30;L;TRUE;T;
BE36;L;TRUE;P;
BE40;M;FALSE;J;
BE58;L;FALSE;P;
BE65;L;FALSE;P;
BE80;L;FALSE;P;
BE88;L;FALSE;P;
BE9;L;FALSE;J;
BE9L;L;TRUE;T;
BE90;L;TRUE;T;
BE99;L;TRUE;T;
BN2P;L;FALSE;P;
BN2T;L;TRUE;T;
BR 31;M;;;
BRIT;M;;;
C12;L;TRUE;T;
C120;L;FALSE;P;
C130;M;TRUE;T;
C135;H;FALSE;J;
C140;L;FALSE;P;
C141;H;FALSE;J;
C150;L;FALSE;P;
C152;L;FALSE;P;
C160;L;TRUE;T;
C162;L;FALSE;P;
C17;H;FALSE;J;
C170;L;FALSE;P;
C172;L;FALSE;P;
C175;L;FALSE;P;
C177;L;FALSE;P;
C180;L;FALSE;P;
C182;L;FALSE;P;
C185;L;FALSE;P;
C187;L;FALSE;;
C188;L;FALSE;P;
C190;L;FALSE;P;
C195;L;FALSE;P;
C205;L;FALSE;P;
C206;L;FALSE;P;
C207;L;FALSE;P;
C208;L;TRUE;T;
C20A;M;FALSE;;
C210;L;FALSE;P;
C240;L;FALSE;P;
C25A;L;FALSE;J;
C25B;M;FALSE;J;
C25C;L;FALSE;J;
C295;M;TRUE;T;
C303;L;TRUE;P;
C305;L;FALSE;P;
C308;L;FALSE;;
C309;L;FALSE;P;
C30J;M;TRUE;T;
C310;L;FALSE;P;
C318;L;;J;
C319;L;;J;
C320;L;FALSE;P;
C321;L;FALSE;J;
C325;L;FALSE;;
C327;L;FALSE;;
C330;L;;J;
C335;L;FALSE;P;
C336;L;FALSE;P;
C337;L;FALSE;P;
C340;L;FALSE;P;
C350;L;FALSE;J;
C400;L;FALSE;J;
C401;L;FALSE;P;
