AIRPORT,VERSION,ASMA_RADIUS,AC_CLASS,RUNWAY,ASMA_SECTOR,FROM_BEARING,TO_BEARING,UNIMPEDED_TIME
EGLL,10,40,H,09L,0,20,100,15.1833333333333
EGLL,10,40,H,09L,1,100,170,15.8333333333333
EGLL,10,40,H,09L,2,170,230,12.9
EGLL,10,40,H,09L,3,230,300,12.9333333333333
EGLL,10,40,H,09L,4,300,360,12.55
EGLL,10,40,H,09L,4,0,20,12.55
EGLL,10,40,H,09R,0,20,100,NA
EGLL,10,40,H,09R,1,100,170,NA
EGLL,10,40,H,09R,2,170,230,NA
EGLL,10,40,H,09R,3,230,300,NA
EGLL,10,40,H,09R,4,300,20,NA
EGLL,10,40,H,27L,0,20,100,11.825
EGLL,10,40,H,27L,1,100,170,12.6166666666667
EGLL,10,40,H,27L,2,170,230,15.3
EGLL,10,40,H,27L,3,230,300,16.5
EGLL,10,40,H,27L,4,300,360,15.1166666666667
EGLL,10,40,H,27L,4,0,20,15.1166666666667
EGLL,10,40,H,27R,0,20,100,11.55
EGLL,10,40,H,27R,1,100,170,11.9333333333333
EGLL,10,40,H,27R,2,170,230,15.025
EGLL,10,40,H,27R,3,230,300,16.25
EGLL,10,40,H,27R,4,300,360,15.4833333333333
EGLL,10,40,H,27R,4,0,20,15.4833333333333
EGLL,10,40,H,NA,0,20,100,NA
EGLL,10,40,MJ,09L,0,20,100,15.0833333333333
EGLL,10,40,MJ,09L,1,100,170,15.4916666666667
EGLL,10,40,MJ,09L,2,170,230,12.8333333333333
EGLL,10,40,MJ,09L,3,230,300,12.05
EGLL,10,40,MJ,09L,4,300,360,12
EGLL,10,40,MJ,09L,4,0,20,12
EGLL,10,40,MJ,09R,0,20,100,NA
EGLL,10,40,MJ,09R,1,100,170,NA
EGLL,10,40,MJ,09R,2,170,230,NA
EGLL,10,40,MJ,09R,3,230,300,NA
EGLL,10,40,MJ,09R,4,300,20,NA
EGLL,10,40,MJ,27L,0,20,100,11.875
EGLL,10,40,MJ,27L,1,100,170,12.4166666666667
EGLL,10,40,MJ,27L,2,170,230,15.0416666666667
