VERSION;AIRPORT;ASMA_RADIUS;AC_CLASS;RUNWAY;ASMA_SECTOR;FROM_BEARING;TO_BEARING;VALID_FROM;VALID_TO;UNIMPEDED_TIME;UNIMPEDED_DIST_KM;STD_U;TF_UNIMPEDED;SATURATION_LEVEL;SAMPLE_FROM;SAMPLE_TO;SAMPLE_SIZE;DAY_TIME_START;DAY_TIME_END;TIMEZONE;CONGESTION_LIMIT
11;EBBR;100;H;01;1;60;150;01/09/2013;01/01/2099;23,5833333333333;221,5;3,93315863424109;20;13;27/09/2013;11/10/2013;51;6,5;22;1;0,5
11;EBBR;40;H;01;1;60;150;01/09/2013;01/01/2099;;;;11;8;27/09/2013;11/10/2013;45;6,5;22;1;0,5
11;EBBR;100;H;01;2;150;260;01/09/2013;01/01/2099;;;;8;11;26/09/2013;11/10/2013;21;6,5;22;1;0,5
11;EBBR;40;H;01;2;150;260;01/09/2013;01/01/2099;;;;15;6;26/09/2013;11/10/2013;27;6,5;22;1;0,5
11;EBBR;40;H;01;3;260;330;01/09/2013;01/01/2099;12,2083333333333;93;0,996424515766231;24;7;24/09/2013;11/10/2013;60;6,5;22;1;0,5
11;EBBR;100;H;01;3;260;330;01/09/2013;01/01/2099;21,8333333333333;207;1,90080234970645;26;12;24/09/2013;11/10/2013;60;6,5;22;1;0,5
11;EBBR;100;H;01;4;330;60;01/09/2013;01/01/2099;;;;4;13;25/09/2013;11/10/2013;19;6,5;22;1;0,5
11;EBBR;40;H;01;4;330;60;01/09/2013;01/01/2099;;;;6;8;25/09/2013;11/10/2013;19;6,5;22;1;0,5
11;EBBR;40;H;02;1;60;150;01/09/2013;01/01/2099;13,7;102;3,15550355326632;237;7;14/11/2012;04/09/2013;573;6,5;22;1;0,5
11;EBBR;100;H;02;1;60;150;01/09/2013;01/01/2099;23,2333333333333;214;4,59255318523405;362;12;14/11/2012;04/09/2013;719;6,5;22;1;0,5
10;EBBR;100;H;02;1;60;150;01/01/2011;01/09/2013;23,25;216;2,54025558210174;312;14;21/01/2011;10/11/2011;638;6,5;22;1;0,5
10;EBBR;40;H;02;1;60;150;01/01/2011;01/09/2013;13,7833333333333;105;1,79552964635342;251;8;21/01/2011;10/11/2011;539;6,5;22;1;0,5
10;EBBR;40;H;02;2;150;260;01/01/2011;01/09/2013;11,0166666666667;82;1,02660056833645;111;6;21/01/2011;10/11/2011;277;6,5;22;1;0,5
11;EBBR;40;H;02;2;150;260;01/09/2013;01/01/2099;11,2083333333333;83;1,61925594013652;170;6;28/11/2012;04/09/2013;434;6,5;22;1;0,5
11;EBBR;100;H;02;2;150;260;01/09/2013;01/01/2099;21,125;199;2,48341308400535;76;11;29/11/2012;04/09/2013;288;6,5;22;1;0,5
10;EBBR;100;H;02;2;150;260;01/01/2011;01/09/2013;20,6;199;2,16890456208729;57;12;21/01/2011;10/11/2011;177;6,5;22;1;0,5
11;EBBR;40;H;02;3;260;330;01/09/2013;01/01/2099;12,8166666666667;94;3,80465011256664;361;7;28/11/2012;03/09/2013;817;6,5;22;1;0,5
10;EBBR;100;H;02;3;260;330;01/01/2011;01/09/2013;22,6833333333333;208;2,85016965135399;250;13;18/01/2011;11/11/2011;502;6,5;22;1;0,5
10;EBBR;40;H;02;3;260;330;01/01/2011;01/09/2013;12,8;95;2,64779251303695;249;8;18/01/2011;11/11/2011;469;6,5;22;1;0,5
11;EBBR;100;H;02;3;260;330;01/09/2013;01/01/2099;22,5666666666667;207;4,02997091692917;383;12;28/11/2012;09/09/2013;821;6,5;22;1;0,5
