flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
0017df35-6a3f-42b7-afd3-aff310d16eab,EIN712,EIDEJ,A320,0x4CA280,EICK,EGLL,['0000' '5464' '7710'],2017-08-07T10:25:56Z,2017-08-07T11:37:24Z,['0xe62d23f' 470618]
0058382b-32ad-4a33-8436-d1e43c73fa92,BAW66GA,GEUUF,A320,0x400981,LGAT,EGLL,['0000' '3261' '2060' '0312' '7522' '0340'],2017-08-07T12:31:48Z,2017-08-07T16:10:07Z,['0xe6324b1' 478445]
017c1189-55b0-4393-b500-933dcf7bdeac,SVA113,NA,NA,0x710119,OEJN,EGLL,['4566' '2041' '7527'],2017-08-07T01:42:07Z,2017-08-07T05:31:34Z,[465106]
023130b3-1749-40a7-9a89-536ff14ace43,BAW903U,NA,NA,0x40041C,EDDF,EGLL,['2563'],2017-08-07T09:18:39Z,2017-08-07T10:36:34Z,[472125]
02880093-9abc-4410-9d3a-4688a662610e,BAW675,A7ADE,A320,0x06A023,LTBA,EGLL,['2000' '3271' '2217'],2017-08-07T05:09:24Z,2017-08-07T09:52:52Z,['0xe624923' 478734]
028ea698-4b16-428d-82d6-5a9ac1977dec,BAW104,GVIIG,B772,0x4005BF,OMDB,EGLL,['0556' '3043' '2217'],2017-08-07T09:48:41Z,2017-08-07T16:31:46Z,['0xe62acef' 474135]
039cfa0c-fea7-4f4b-90b3-485f2deadc0b,SWR43B,HBIPV,A319,0x4B16BB,LSZH,EGLL,['3072'],2017-08-07T10:06:10Z,2017-08-07T11:56:36Z,['0xe62c76f' 472163]
03a56540-876d-4850-bbeb-06c44df52276,BAW563,GEUUU,A320,0x405455,LIML,EGLL,['0000' '0463' '2774'],2017-08-07T14:06:44Z,2017-08-07T15:56:58Z,['0xe636b70']
03c8b3b7-4fad-4b83-aaff-e2215279fcec,BAW775C,GEUOD,A319,0x40093D,ESSA,EGLL,['0000' '6210' '0762' '1070' '6312'],2017-08-07T11:30:08Z,2017-08-07T13:57:46Z,['0xe62fa6f']
03f2204b-aa2a-49d8-b0ae-f8bbf4371e8e,FIN2NC,OHLWF,A359,0x461F4D,EFHK,EGLL,['0000' '6207'],2017-08-07T04:56:06Z,2017-08-07T07:50:52Z,['0xe624396' 472993]
