flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
007a827a-5453-4d56-891f-6fa18e8173d5,EIN585,EIFNH,A333,0x4CA615,LEMG,EIDW,['4530' '5367'],2017-08-05T10:40:28Z,2017-08-05T13:25:24Z,['0xe5c9d50' 403498]
01380475-7512-4f14-909d-50151263a3cc,DLH982,NA,NA,0x3C6648,EDDF,EIDW,['2514'],2017-08-05T20:28:38Z,2017-08-05T22:05:38Z,[425376]
021cd953-e6ec-4013-984d-54e284888475,LOG9TP,NA,NA,0x400DE0,EGPE,EIDW,['4432'],2017-08-05T10:17:02Z,2017-08-05T11:04:47Z,[392947]
02a4456f-d1a6-41a5-b970-a5eb642a8557,RYR77MW,EIEVA,B738,0x4CA9C1,LEAL,EIDW,['0000' '1027' '3162' '2337'],2017-08-05T09:35:54Z,2017-08-05T12:18:39Z,['0xe5c7c24' 408997]
046f1ab4-e1f9-4744-9ff7-dbbbffbaa0bf,STK5K,EIFAV,AT76,0x4CAADA,EIKY,EIDW,['0000' '5422'],2017-08-05T13:22:41Z,2017-08-05T14:23:10Z,['0xe5cffb4']
04b79a82-a29d-471c-b3d7-7aa70ade86d8,EIN73J,EIDEL,A320,0x4CA292,LEPA,EIDW,['0000' '1057' '2750'],2017-08-05T22:11:45Z,2017-08-05T23:59:59Z,['0xe5e5905' 421678]
051ecf1e-1916-407f-86ee-e2a46a530650,IBS3792,ECMCB,A320,0x3445D1,LEMD,EIDW,['0000' '5352' '7707'],2017-08-05T07:02:01Z,2017-08-05T09:08:29Z,['0xe5c381a' 399848]
0568c194-01b7-4afd-b813-dd050ec2e02d,EIN169,EIDVK,A320,0x4CA8BD,EGLL,EIDW,['0000' '5474'],2017-08-05T16:20:14Z,2017-08-05T17:29:07Z,['0xe5d8178' 410205]
06062c67-d720-407c-8238-07a03677eea8,BEE5EH,NA,NA,0x400DF6,EGHI,EIDW,['7743'],2017-08-05T06:11:25Z,2017-08-05T07:09:27Z,[408306]
0616bb8d-2820-465e-9cd9-2a9697eb58ff,TVS4312,OKTVL,B738,0x49D13D,GCRR,EIDW,['0000' '4445' '7447'],2017-08-05T10:25:19Z,2017-08-05T14:17:36Z,['0xe5c9666']
07270ad9-2746-4a74-b190-98aa38a801f8,EIN4HJ,EIDVG,A320,0x4CA63A,LDSP,EIDW,['0000' '2230'],2017-08-05T22:16:24Z,2017-08-05T23:59:57Z,['0xe5e5b3d' 422141]
0789a70d-c303-419b-92c0-db7046dc719c,ROU1940,CFMWQ,B763,0xC021FD,CYVR,EIDW,['0000' '2000' '5404'],2017-08-05T06:59:24Z,2017-08-05T07:59:40Z,['0xe5b5909']
08466bc7-379e-43fe-b80c-c02b401026e5,RYR7CZ,EIFZK,B738,0x4CAB6F,LFMN,EIDW,['0000' '6762' '5740'],2017-08-05T19:32:42Z,2017-08-05T21:56:18Z,['0xe5e03d2' 424415]
088d9275-f507-4567-9b30-271606b3f870,RYR173,EISEV,B737,0x4CA4B1,EGNT,EIDW,['0000' '7723' '6206'],2017-08-05T10:13:34Z,2017-08-05T11:29:24Z,['0xe5c8e7c' 408868]
089877f9-e217-4166-82dc-379b22016b8a,RYR32QY,EIEKL,B738,0x4CA80C,GCTS,EIDW,['0000' '4476' '5402'],2017-08-05T18:43:52Z,2017-08-05T23:00:41Z,['0xe5de750' 422592]
09217e2f-86e6-4066-ae2d-6bea170f94b3,EIN56V,EICVC,A320,0x4CA15C,LEBL,EIDW,['0000' '1010' '2702'],2017-08-05T21:02:50Z,2017-08-05T23:35:28Z,['0xe5e37d7' 421551]
09e1f23c-77bd-497b-91d5-91483effd6f7,EIN549,EIDER,A320,0x4CA2CB,LFMN,EIDW,['0000' '6760' '2740'],2017-08-05T21:17:40Z,2017-08-05T23:59:57Z,['0xe5e3f7d' 421573]
09f332e8-ba3b-44a0-9f9d-8b53d447b91d,N3050,NA,NA,NA,KTEB,EIDW,['5451' ''],2017-08-05T06:28:46Z,2017-08-05T07:26:21Z,[378830]
0ab5c1cc-fc9d-42c2-82c1-19aaff75c786,RYR17TL,NA,NA,NA,LPPT,EIDW,['4772' '2000' '5427'],2017-08-05T09:26:29Z,2017-08-05T11:43:46Z,[410681]
0c8f590e-1135-4175-9ef4-1b95c65b4f2a,EIN14Y,EIEDS,A320,0x4CA770,EGLL,EIDW,['0000' '4225' '3431'],2017-08-05T05:40:01Z,2017-08-05T07:02:26Z,['0xe5c1a10']
0d01491b-2a14-43cb-80fc-82325e2a0109,STK55YA,NA,NA,0x4CAAD9,EGPH,EIDW,['6204'],2017-08-05T14:48:45Z,2017-08-05T15:39:22Z,[397320]
0d3408e0-dc4e-446f-85d8-334c7ce05dce,EIN419,EIDEP,A320,0x4CA2C9,LIPE,EIDW,['0000' '0234' '2740' '5752' '6760'],2017-08-05T21:11:16Z,2017-08-05T23:38:47Z,['0xe5e3b0a' 421641]
0d4f9aa2-ca22-461c-a16a-dc2a11ffea64,RYR7KF,EIFOD,B738,0x4CA5E9,LKPR,EIDW,['6622' '2721' '5676' '7452'],2017-08-05T14:24:11Z,2017-08-05T16:44:52Z,['0xe5d28a0' 421719]
