flight_id,callsign,aircraft_reg,aircraft_type,aircraft_address,adep,ades,ssr_codes,period_start,period_finish,source_ids
0020e2ce-ab1f-4231-a029-f5c96e7325d3,DLH3WY,DACKI,CRJ9,0x3C4D69,EDDM,LSZH,['0000' '1000'],2017-08-01T10:03:51Z,2017-08-01T10:33:41Z,['0xe4f4760']
00fc623c-70ba-4794-9ac7-5c2ce9c4ad1a,AZA4DG,EIIMB,A319,0x4CA8F4,LIRF,LSZH,['0000' '1000' '7436'],2017-08-01T14:12:02Z,2017-08-01T15:45:40Z,['0xe4fefef' 279544]
011cc177-2412-435b-9841-162e8beff0d1,SWR122F,HBIJF,A320,0x4B160F,ESSA,LSZH,['0000' '6504' '1000' '5356'],2017-08-01T13:12:38Z,2017-08-01T16:07:33Z,['0xe4fc088']
01540369-3073-4640-b495-2963ffb4f915,EDW34T,HBIHZ,A320,0x4B15EF,LGIR,LSZH,['0000' '2024' '1000' '2023'],2017-08-01T17:41:29Z,2017-08-01T20:56:51Z,['0xe50917e' 283996]
018620c1-97e3-4939-96cb-bcf97648d3dd,LOT4ZV,SPLII,E75S,0x48AD08,EPWA,LSZH,['0000' '1071' '7221' '2026' '1000' '2207'],2017-08-01T15:29:59Z,2017-08-01T17:11:54Z,['0xe502dc7']
03b16a70-1bf5-4bd7-a5fe-72db717dafcd,SWR225Z,HBIPU,A319,0x4B16BA,LHBP,LSZH,['0000' '4223' '1000' '5515'],2017-08-01T07:43:05Z,2017-08-01T09:17:43Z,['0xe4f0607' 263796]
03fb72e9-d668-4adf-a631-631030aab515,EIN34G,EICVC,A320,0x4CA15C,EIDW,LSZH,['0000' '2252' '3412'],2017-08-01T16:32:02Z,2017-08-01T18:36:40Z,['0xe505ebf' 276274]
057f39c1-2ef7-45ed-bda3-89008f8ba53a,LOT4ZV,NA,NA,0x48AD08,EPWA,LSZH,['1071' '1000'],2017-08-01T15:28:22Z,2017-08-01T17:16:20Z,[288271]
0580bf81-c6d7-4b59-a183-4b3e89040ece,SWR1189,OELGQ,DH8D,0x440779,EDDN,LSZH,['6656'],2017-08-01T08:34:15Z,2017-08-01T09:13:14Z,['0xe4f1cc1']
0682fb4b-59ff-40ec-850c-c9ad1186c7fc,SWR81C,HBJVC,F100,0x4B19E8,EDDV,LSZH,['1000' '0000'],2017-08-01T08:00:48Z,2017-08-01T09:05:35Z,[251728 '0xe4f0b61']
0692361f-1c94-4378-a265-142299354518,SWR729,NA,NA,0x4B1693,EHAM,LSZH,['1000' ''],2017-08-01T13:16:17Z,2017-08-01T14:24:08Z,[272165]
07438d98-860d-4632-b18c-6c376d0c3a53,EDW371F,HBIHZ,A320,0x4B15EF,LCLK,LSZH,['0000' '5634' '1000'],2017-08-01T08:55:10Z,2017-08-01T12:34:31Z,['0xe4f267a' 260857]
0747d140-2088-43ee-98a4-6ad762bf50c7,OEIPW,NA,NA,NA,LFPB,LSZH,['1000'],2017-08-01T11:49:15Z,2017-08-01T12:34:32Z,[255799]
077d7dd3-980f-45d4-bbbd-fc846248b5ee,AEE8RZ,SXDVT,A320,0x4692D4,LGAT,LSZH,['0000' '7467' '5522' '1436' '7366' '1000' '2055'],2017-08-01T05:00:33Z,2017-08-01T08:38:59Z,['0xe4ebf6f' 258600]
0783be8f-77a2-4d44-8b0c-01052f0917fe,EDW299,HBIJW,A320,0x4B1620,LPFR,LSZH,['0000' '4715' '1000'],2017-08-01T18:27:01Z,2017-08-01T21:10:50Z,['0xe50b1f4' 284632]
078aab62-15fb-4823-b28a-4077d5fdb5d0,EZY23EZ,NA,NA,0x400D8C,EGGW,LSZH,['2225'],2017-08-01T12:46:53Z,2017-08-01T14:11:48Z,[270745]
07eb66f5-58df-4585-b260-d368ca007bb8,SWR174B,HBIJF,A320,0x4B160F,LIRF,LSZH,['0000' '1000' '3006'],2017-08-01T07:57:15Z,2017-08-01T09:22:01Z,['0xe4f0bdd' 263793]
08ba2be2-8833-4024-9b8b-c8e5c217365b,UAL134,N59053,B764,0xA7A08A,KEWR,LSZH,['2071' '0000'],2017-08-01T03:26:40Z,2017-08-01T05:37:30Z,[261369 '0xe4de8a6']
08e5c4c0-7fa2-47bb-bc00-73123f39628c,HBCZV,HBCZV,C182,0x4B07E7,LSZC,LSZH,['0000' '7000'],2017-08-01T11:25:18Z,2017-08-01T12:13:39Z,['0xe4f75bd']
09725089-d5a5-4d37-813a-f55b20508f9c,EDW449,HBIHX,A320,0x4B15ED,LDSP,LSZH,['0000' '7357' '1000'],2017-08-01T19:23:07Z,2017-08-01T21:14:25Z,['0xe50d7d3' 285329]
0a2dc675-c777-41ac-ba31-bf164d31f8c7,SWR819,HBJVH,F100,0x4B19ED,EDDV,LSZH,['0000' '1000' '3045'],2017-08-01T04:43:57Z,2017-08-01T05:47:34Z,['0xe4eb79a' 246453]
0aae537c-5411-495f-865f-557de081197d,AUA561B,OELBI,A320,0x440665,LOWW,LSZH,['0000' '1000'],2017-08-01T05:29:56Z,2017-08-01T06:42:20Z,['0xe4eccfe' 258261]
0b73c356-dd4c-4bfb-828c-40e02a3c84b7,DLH3WY,NA,NA,0x3C4D69,EDDM,LSZH,['1000'],2017-08-01T10:07:36Z,2017-08-01T10:36:12Z,[260565]
0baa3c67-0908-42bc-a519-cd25027d4b67,SWR195H,NA,NA,NA,LEBL,LSZH,['5515'],2017-08-01T08:08:00Z,2017-08-01T09:24:56Z,[263900]
0c60b913-585e-4318-8ed8-391574e64385,DLH2PM,DACKK,CRJ9,0x3C4D6B,EDDM,LSZH,['0000' '1000' '3603'],2017-08-01T05:47:23Z,2017-08-01T06:20:50Z,['0xe4ed504']
